,ISIN number,Bloomberg Ticker,Activ Ticker,Last Price,Current % Mkt Cap,Projected % Mkt Cap,Current PFF Shares,Projected PFF Shares,Difference
399,US8385182071,SJIJ Pfd,SJIJ,16.02,0.06882,0.07017,600416.0,612194.0,11778.0
400,US8385183061,SJIV Pfd,SJIV,67.49,0.24372,0.0,504722.0,0.0,-504722.0
401,US78440X5077,SLG I Pfd,SLGpI,23,0.11363,0.11585,690503.0,703993.0,13490.0
402,US78442P5026,SLMBP Pfd,SLMBP,66.245,0.14226,0.14504,300144.0,306009.0,5865.0
403,US87157B3015,SNCRL Pfd,SNCRL,18.45,0.04967,0.05064,376269.0,383617.0,7348.0
404,US87161C7092,SNV E Pfd,SNVpE,24.58,0.18479,0.18841,1050743.0,1071327.0,20584.0
405,US87161C6003,SNV D Pfd,SNVpD,24.88,0.10689,0.10897,600464.0,612148.0,11684.0
406,US8425878837,SOJE Pfd,SOJE,19.66,0.31673,0.32292,2251676.0,2295681.0,44005.0
407,US8425878001,SOJD Pfd,SOJD,22.03,0.47321,0.48246,3002199.0,3060884.0,58685.0
408,US3733344408,GPJA Pfd,GPJA,23.91,0.13867,0.14138,810593.0,826435.0,15842.0
409,US8425874042,SOJC Pfd,SOJC,24.35,0.23537,0.23997,1350990.0,1377394.0,26404.0
410,US85814R2067,SPLP A Pfd,SPLPpA,23.35,0.08053,0.0821,482027.0,491424.0,9397.0
411,BMG8192H1557,SPNT B Pfd,SPNTpB,24.5505,0.10547,0.10753,600439.0,612166.0,11727.0
412,US84857L3096,SR A Pfd,SRpA,24.8,0.13318,0.13578,750564.0,765216.0,14652.0
413,US84860W2017,SRC A Pfd,SRCpA,24.25,0.08985,0.09161,517853.0,527997.0,10144.0
414,US8168516040,SREA Pfd,SREA,24.6,0.40027,0.4081,2274145.0,2318631.0,44486.0
415,US45031U8045,STAR I Pfd,STARpI,25.159,0.06755,0.06887,375260.0,382593.0,7333.0
416,US45031U4085,STAR D Pfd,STARpD,25.24,0.05422,0.05528,300241.0,306111.0,5870.0
417,US8574778556,STT G Pfd,STTpG,25.55,0.27441,0.27977,1501098.0,1530419.0,29321.0
418,US8574776089,STT D Pfd,STTpD,25.17,0.40549,0.41342,2251630.0,2295664.0,44034.0
419,US87165B2025,SYF A Pfd,SYFpA,19.39,0.31238,0.31848,2251674.0,2295644.0,43970.0
420,US00206R7061,T C Pfd,TpC,20.37,0.76572,0.78069,5253867.0,5356581.0,102714.0
421,US00206R5081,T A Pfd,TpA,21.68,0.55883,0.56975,3602637.0,3673036.0,70399.0
422,US00206R3003,TBB Pfd,TBB,23.3,0.6619,0.67484,3970421.0,4048042.0,77621.0
423,US00206R4092,TBC Pfd,TBC,24.56,0.43523,0.44374,2476798.0,2525227.0,48429.0
424,US8941743093,TANNL Pfd,TANNL,25.352,0.06534,0.06662,360219.0,367276.0,7057.0
425,US8941744083,TANNZ Pfd,TANNZ,25.27,0.05428,0.05534,300217.0,306079.0,5862.0
426,US8941742004,TANNI Pfd,TANNI,26.1,0.06167,0.06288,330243.0,336723.0,6480.0
427,US88224Q3056,TCBIO Pfd,TCBIO,21.94,0.14138,0.14415,900641.0,918286.0,17645.0
428,US8794337613,TDS V Pfd,TDSpV,16.69,0.24737,0.2522,2071528.0,2111975.0,40447.0
429,US8794337878,TDS U Pfd,TDSpU,18.6184,0.16797,0.17125,1260926.0,1285548.0,24622.0
430,US89832Q8107,TFC I Pfd,TFCpI,21.6208,0.08012,0.08168,517928.0,528012.0,10084.0
431,US89832Q6952,TFC R Pfd,TFCpR,21.5,0.42719,0.43554,2777044.0,2831325.0,54281.0
432,US89832Q7455,TFC O Pfd,TFCpO,23.79,0.29383,0.29958,1726243.0,1760024.0,33781.0
