"Global X U.S. Preferred ETF",,,,,,
"Fund Holdings Data as of 03/30/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.48,CTL,"CTL 6 1/2 09/01/56",BZ4C835,14.23,"751,765.00","10,697,615.95"
0.48,USB,"USB 5 1/2 PERP",BDT6C58,24.36,"436,363.00","10,629,802.68"
0.47,PRU,"PRU 5 5/8 08/15/58",BG844G9,24.69,"428,775.00","10,586,454.75"
0.47,USB,"USB 4 PERP",BMFDGD2,18.48,"569,093.00","10,516,838.64"
0.47,MET,"MET 6.15914 PERP",B0B87W3,22.99,"455,455.00","10,470,910.45"
0.47,ATH,"ATH 6 3/8 PERP",BMG0ZK2,22.90,"455,726.00","10,436,125.40"
0.46,BAC,"BAC 4 3/4 PERP",BN7SQB0,20.58,"503,857.00","10,369,377.06"
0.45,KEY,"KEY 6.2 PERP",BPLPQT9,22.06,"455,633.00","10,051,263.98"
0.44,TFC,"TFC 5 1/4 PERP",BMFYGG8,22.80,"436,153.00","9,944,288.40"
0.44,SYF,"SYF 5 5/8 PERP",BK77YC3,17.20,"569,218.00","9,790,549.60"
0.44,RBC,"RBC 5 10/15/24",BP6RTH9,111.15,"87,643.00","9,741,633.39"
0.43,DUK,"DUK 5 5/8 09/15/2078",BFNR2X9,25.05,"383,364.00","9,603,268.20"
0.43,STT,"STT 5.35 PERP",BYPK477,24.92,"383,364.00","9,553,430.88"
0.42,AIG,"AIG 5.85 PERP",BJM0FP0,24.42,"387,431.00","9,461,065.02"
0.42,NI,"NI 6 1/2 PERP",BGYJZ76,24.25,"383,364.00","9,296,577.00"
0.41,AXS,"AXS 5 1/2 PERP",BD2Z8N2,21.47,"426,135.00","9,149,118.45"
0.41,PSA,"PSA 4 5/8 PERP",BLFGL51,20.87,"437,948.00","9,139,974.76"
0.40,SCHW,"SCHW 4.45 PERP",BMW32F9,19.61,"454,836.00","8,919,333.96"
0.40,RF,"RF 6 3/8 PERP",BLZHDQ9,23.48,"379,160.00","8,902,676.80"
0.40,NYCB,"NYCB 6 3/8 PERP",BYVLYP2,22.76,"390,473.00","8,887,165.48"
0.40,KEY,"KEY 6 1/8 PERP",BYQR0N5,22.94,"387,172.00","8,881,725.68"
0.39,COF,"COF 4 3/8 PERP",BMX47S9,16.86,"511,615.00","8,625,828.90"
0.39,MS,"MS 4 7/8 PERP",BK6JGG8,22.23,"387,872.00","8,622,394.56"
0.38,PSA,"PSA 4 PERP",BM91SN6,18.37,"468,350.00","8,603,589.50"
0.38,SO,"SO 5 1/4 12/01/2077",BF0WD23,24.44,"349,144.00","8,533,079.36"
0.37,BPY,"BPY 6 1/4 07/26/2081",BMJ0KL5,16.45,"508,736.00","8,368,707.20"
0.36,RF,"RF 5.7 PERP",BJMXZX7,21.10,"383,364.00","8,088,980.40"
0.35,PRU,"PRU 4 1/8 09/01/60",BLB2465,20.10,"388,395.00","7,806,739.50"
0.35,KEY,"KEY 5 5/8 PERP",BJHDLJ0,22.32,"349,245.00","7,795,148.40"
0.35,RGA,"RGA 5 3/4 06/15/56",BYT3Q98,25.35,"306,700.00","7,774,845.00"
0.34,NSUS,"NSUS 11.5264 01/15/43",B8S0HY0,25.12,"304,130.00","7,639,745.60"
0.34,BHF,"BHF 6 3/4 PERP",BM9JJ93,24.07,"312,485.00","7,521,513.95"
0.34,BHF,"BHF 6.6 PERP",BJ0M332,22.72,"329,684.00","7,490,420.48"
0.33,ATH,"ATH 4 7/8 PERP",BMC8G63,16.75,"445,984.00","7,470,232.00"
0.33,ACGL,"ACGL 4.55 PERP",BNYBNX3,19.10,"388,405.00","7,418,535.50"
0.33,CTL,"CTL 6 3/4 06/15/57",BD2ZSL0,14.64,"500,440.00","7,326,441.60"
0.33,BHF,"BHF 5 3/8 PERP",BN0TD19,16.75,"435,683.00","7,297,690.25"
0.32,USB,"USB 4 1/2 PERP",BMC7GV5,20.97,"343,562.00","7,204,495.14"
0.32,DTE,"DTE 5 1/4 12/01/2077",BF3L703,23.45,"306,700.00","7,192,115.00"
0.32,EIX,"EIX 5 PERP",BDC3P68,20.00,"358,964.00","7,179,280.00"
0.32,TDS,"TDS 6 PERP",BNSNM38,13.71,"522,618.00","7,165,092.78"
0.32,KKR,"KKR 4 5/8 04/01/61",BN2D5N5,18.53,"383,364.00","7,103,734.92"
0.32,ETR,"ETR 4 7/8 09/01/66",BZC0L09,22.58,"314,353.00","7,098,090.74"
0.31,USM,"USM 6 1/4 09/01/69",BMGR6C2,18.61,"377,510.00","7,025,461.10"
0.31,HBAN,"HBAN 4 1/2 PERP",BKPLQ32,18.07,"388,397.00","7,018,333.79"
0.31,KEY,"KEY 5.65 PERP",BYWLBZ0,20.80,"330,036.00","6,864,748.80"
0.31,HIG,"HIG 6 PERP",BF5J7D8,25.42,"268,368.00","6,821,914.56"
0.31,CG,"CG 4 5/8 05/15/61",BMHV4X0,18.06,"377,695.00","6,821,171.70"
0.31,NTRS,"NTRS 4.7 PERP",BKFVZR9,22.59,"301,823.00","6,818,181.57"
0.30,CFG,"CFG 5 PERP",BK229B7,19.76,"342,933.00","6,776,356.08"
0.30,AEL,"AEL 5.95 PERP",BL4Q3H8,22.37,"302,026.00","6,756,925.67"
0.30,ESGR,"ESGR 7 PERP",BFXXB52,21.97,"306,700.00","6,738,199.00"
0.30,USB,"USB 3 3/4 PERP",BMFV904,17.86,"377,262.00","6,737,899.32"
0.30,QRTEV,"QRTEA 8 03/15/31",BMH2T16,27.61,"240,571.00","6,642,165.31"
0.30,NSUS,"NSUS 10.8021 PERP",BF0XV77,22.77,"290,899.00","6,623,770.23"
0.29,RNR,"RNR 4.2 PERP",BKSDN56,17.17,"377,352.00","6,479,133.84"
0.29,BHF,"BHF 6 1/4 09/15/58",BF5JWJ9,22.13,"291,477.00","6,448,928.63"
0.28,USM,"USM 5 1/2 03/01/70",BN7J7C1,16.86,"377,076.00","6,357,501.36"
0.28,USM,"USM 5 1/2 06/01/70",BNMBT60,16.69,"377,023.00","6,292,513.87"
0.27,AQNCN,"AQNCN 6.2 07/01/2079",BFYWGC0,23.26,"263,851.00","6,137,200.65"
0.27,BAC,"BAC 5.41529 PERP",B1VN1F6,20.25,"295,384.00","5,981,526.00"
0.27,RLJ,"RLJ 1.95 PERP",BF2N465,24.60,"242,663.00","5,969,509.80"
0.27,PSA,"PSA 4 PERP",BMQ85K6,18.18,"327,744.00","5,958,385.92"
0.26,PACW,"PACW 7 3/4 PERP",BNM26D9,15.00,"393,519.00","5,902,785.00"
0.26,PRU,"PRU 5.95 09/01/62",BQB5JR5,24.99,"233,868.00","5,844,361.32"
0.25,FCNCA,"FCNCA 5 3/8 PERP",BLHLTL6,21.87,"259,836.00","5,682,613.32"
0.25,PARA,"PARA 5 3/4 04/01/24",BMYLJW7,29.84,"188,384.00","5,621,378.56"
0.25,ACGL,"ACGL 5.45 PERP",BF956G8,22.62,"248,490.00","5,620,843.80"
0.25,SNV,"SNV 5 7/8 PERP",BKFHSG7,20.86,"264,077.00","5,508,646.22"
0.24,UNM,"UNM 6 1/4 06/15/58",BFYF0S3,24.23,"225,786.00","5,470,794.78"
0.24,DLR,"DLR 5.2 PERP",BKLXG10,20.95,"259,857.00","5,444,238.02"
0.24,AEL,"AEL 6 5/8 PERP",BMTD3B5,24.02,"225,802.00","5,423,764.04"
0.24,PSA,"PSA 5.6 PERP",BGMHQB3,25.18,"214,373.00","5,397,912.14"
0.24,PSA,"PSA 5.05 PERP",BF7PKX5,23.38,"230,152.00","5,380,953.76"
0.24,RF,"RF 4.45 PERP",BP2C5M5,17.75,"301,376.00","5,349,424.00"
0.24,CFG,"CFG 6.35 PERP",BGPFT82,23.58,"225,946.00","5,327,806.68"
0.24,COF,"COF 4 1/4 PERP",BMHJZD1,16.55,"320,127.00","5,298,101.85"
0.24,SO,"SO 5 10/01/2077",BZ60HT6,24.85,"211,298.00","5,250,755.30"
0.23,PSA,"PSA 4 7/8 PERP",BK598B8,21.64,"242,385.00","5,245,211.40"
0.23,ATH,"ATH 5 5/8 PERP",BKWG6L8,20.01,"259,655.00","5,195,696.55"
0.23,AMG,"AMG 5 7/8 03/30/59",BJVJZF8,22.58,"229,988.00","5,193,129.04"
0.23,VOYA,"VOYA 5.35 PERP",BJGS497,22.39,"229,830.00","5,145,893.70"
0.23,CMS,"CMS 5 7/8 10/15/2078",BFXBC20,23.94,"214,834.00","5,143,125.96"
0.23,PSA,"PSA 5.15 PERP",BYZ2PF8,23.69,"215,018.00","5,093,776.42"
0.23,APO,"APO 6 3/8 PERP",BN12L24,22.52,"225,837.00","5,085,849.24"
0.23,EIX,"EIX 5.45 PERP",BYQ69C4,21.85,"230,405.00","5,034,349.25"
0.22,EIX,"EIX 5 3/8 PERP",BYX6KN5,19.96,"249,778.00","4,985,568.88"
0.22,WTFC,"WTFC 6 7/8 PERP",BMTCNN4,22.99,"216,404.00","4,975,127.96"
0.22,ALL,"ALL 4 3/4 PERP",BK727P2,21.92,"225,374.00","4,940,198.08"
0.22,PBI,"PBI 6.7 03/07/43",B9CDPW6,15.29,"321,308.00","4,912,799.32"
0.22,ETR,"ETR 4 7/8 09/01/66",BD0S963,23.15,"207,428.00","4,801,958.20"
0.21,WRB,"WRB 5.1 12/30/59",BJBK4B0,20.73,"230,283.00","4,773,766.59"
0.21,TDS,"TDS 6 5/8 PERP",BMDKP83,15.03,"316,398.00","4,755,461.94"
0.21,MTB,"MTB 5 5/8 PERP",BPQT641,24.59,"192,115.00","4,724,107.85"
0.21,SR,"SR 5.9 PERP",BJV8KN8,23.93,"192,153.00","4,598,221.29"
0.21,BC,"BC 6 3/8 04/15/49",BJT13Z2,25.43,"180,261.00","4,584,686.17"
0.21,NRUC,"NRUC 5 1/2 05/15/64",BJBL059,23.39,"195,882.00","4,581,679.98"
0.21,ETR,"ETR 4.9 10/01/66",BD5NDN8,22.87,"200,196.00","4,578,482.52"
0.21,BNCN,"BNCN 4 5/8 10/16/2080",BNHQ5L7,15.22,"300,815.00","4,578,404.30"
0.20,APO,"APO 6 3/8 PERP",BN12L13,21.59,"211,400.00","4,564,126.00"
0.20,BAC,"BAC 5.60343 PERP",B06H0T3,20.77,"217,872.00","4,525,201.44"
0.20,NAVI,"NAVI 6 12/15/43",BDRW5R1,19.25,"230,126.00","4,429,925.50"
0.20,RNR,"RNR 5 3/4 PERP",BFMZ665,22.85,"190,661.00","4,356,603.85"
0.19,EQH,"EQH 4.3 PERP",BMF1DS0,18.41,"235,302.00","4,331,909.82"
0.19,BIP,"BIP 5 1/8 PERP",BPVC0M1,18.69,"230,729.00","4,312,325.01"
0.19,DTE,"DTE 4 3/8 12/01/2081",BNQNFS6,19.85,"215,881.00","4,285,237.85"
0.19,TVA,"TVA 2.134 06/01/28",2612674,21.71,"196,849.00","4,274,556.35"
0.19,TCBI,"TCBI 5 3/4 PERP",BMH40V9,18.52,"230,387.00","4,266,767.24"
0.19,PSA,"PSA 4.7 PERP",BK72JQ7,21.35,"199,166.00","4,252,194.10"
0.19,BHF,"BHF 4 5/8 PERP",BNRLZ01,15.80,"267,080.00","4,219,864.00"
0.18,BEPUCN,"BEPUCN 4 5/8 PERP",BLFF1H0,15.41,"266,840.00","4,112,004.40"
0.18,NSUS,"NSUS 11.9251 PERP",BYVQFR6,23.74,"172,510.00","4,095,387.40"
0.18,OZK,"OZK 4 5/8 PERP",BNTYXM6,15.25,"267,201.00","4,074,815.25"
0.18,FITB,"FITB 4.95 PERP",BKKBGL5,21.39,"190,399.00","4,072,634.61"
0.18,AL,"AL 6.15 PERP",BJR4L26,21.00,"192,216.00","4,036,536.00"
0.18,KIM,"KIM 5 1/4 PERP",BD0RST6,19.97,"201,523.00","4,024,792.17"
0.18,SF,"SF 6 1/8 PERP",BMDX0S7,23.30,"171,426.00","3,994,225.80"
0.18,PSA,"PSA 3 7/8 PERP",BLFKCL6,17.94,"222,154.00","3,985,442.76"
0.17,PSA,"PSA 4 3/4 PERP",BKSD8W8,21.45,"181,011.00","3,882,685.95"
0.17,DLR,"DLR 5.85 PERP",BJR2164,23.35,"165,073.00","3,854,454.55"
0.17,AIZ,"AIZ 5 1/4 01/15/61",BLD4BS0,19.85,"192,599.00","3,823,090.15"
0.17,OAK,"OAK 6.55 PERP",BG4SNK2,21.05,"180,832.00","3,806,513.60"
0.17,DTE,"DTE 4 3/8 10/15/2080",BMY4XS0,20.80,"181,250.00","3,770,000.00"
0.17,WAFD,"WAFD 4 7/8 PERP",BMVN6G9,16.28,"230,613.00","3,754,379.64"
0.17,SF,"SF 4 1/2 PERP",BP38124,16.16,"231,207.00","3,736,305.12"
0.16,AHL,"AHL 5 5/8 PERP",BKDJPD1,19.09,"192,739.00","3,678,423.82"
0.16,AMG,"AMG 4 3/4 09/30/60",BN0VM18,17.49,"209,628.00","3,666,393.72"
0.16,CMS,"CMS 5 5/8 03/15/2078",BYWSYZ2,23.80,"151,837.00","3,613,720.60"
0.16,AHL,"AHL 5 5/8 PERP",BD915N2,18.69,"190,434.00","3,559,211.46"
0.16,TVA,"TVA 2.216 05/01/29",2520249,21.37,"164,022.00","3,505,150.14"
0.16,EIX,"EIX 5.1 PERP",B93SGN8,20.52,"170,116.00","3,490,780.32"
0.16,PSA,"PSA 4.1 PERP",BMX8DR2,18.32,"189,994.00","3,480,690.08"
0.16,CMS,"CMS 4.2 PERP",BLNB396,19.85,"174,872.00","3,471,209.20"
0.15,SLG,"SLG 6 1/2 PERP",B89P3T1,18.77,"180,720.00","3,392,114.40"
0.15,UGI,"UGI 7 1/4 06/01/24",BLCW7R6,79.57,"42,205.00","3,358,251.85"
0.15,SPNT,"SPNT 8 PERP",BMB63G7,22.03,"151,976.00","3,348,031.28"
0.15,KIM,"KIM 5 1/8 PERP",BF47T71,19.38,"171,105.00","3,315,961.86"
0.15,HPP,"HPP 4 3/4 PERP",BP38WQ5,9.99,"324,240.00","3,239,157.60"
0.14,PSA,"PSA 4 1/8 PERP",BKPVDZ3,18.44,"174,872.00","3,224,639.68"
0.14,VNO,"VNO 5 1/4 PERP",BF5LLD2,13.19,"242,915.00","3,204,048.85"
0.14,BAC,"BAC 5.70343 PERP",B0PR2S7,20.90,"152,924.00","3,196,111.60"
0.14,DLR,"DLR 5 1/4 PERP",BD0YJ83,21.08,"151,590.00","3,195,517.20"
0.14,GS,"GS 5.90914 PERP",B0N0V47,20.52,"151,463.00","3,108,020.76"
0.14,VNO,"VNO 5.4 PERP",B8K7RN8,13.61,"228,361.00","3,107,993.21"
0.14,WAL,"WAL 4 1/4 PERP",BNZJSP3,13.40,"230,155.00","3,084,077.00"
0.14,FRC,"FRC 4 1/2 PERP",BLGTT77,5.37,"561,447.00","3,014,970.39"
0.13,FRC,"FRC 4 1/4 PERP",BMH5WY9,5.30,"566,983.00","3,005,009.90"
0.13,VNO,"VNO 5 1/4 PERP",BMWB4M4,12.73,"235,998.00","3,004,254.54"
0.13,FRC,"FRC 4 PERP",BNT8V57,5.26,"568,686.00","2,991,288.36"
0.13,BEPUCN,"BEPUCN 4 7/8 PERP",BMV7W07,15.25,"195,985.00","2,988,771.25"
0.13,BPY,"BPY 5 3/4 PERP",BLK7825,13.60,"218,314.00","2,969,070.40"
0.13,BPY,"BPY 6 3/8 PERP",BK1KVK5,15.50,"189,878.00","2,943,109.00"
